date,0-7,7-15,15-30,30-50,50+,Lebanon,Lebanon_drone
2023-10-07,436.0,328.0,322.0,402.0,152.0,0.0,0.0
2023-10-08,78.0,24.0,4.0,9.0,0.0,0.0,0.0
2023-10-09,77.0,37.0,12.0,15.0,23.0,1.0,0.0
2023-10-10,60.0,33.0,5.0,6.0,12.0,6.0,0.0
2023-10-11,77.0,31.0,12.0,7.0,6.0,1.0,0.0
2023-10-12,42.0,12.0,7.0,15.0,3.0,3.0,0.0
2023-10-13,46.0,21.0,10.0,8.0,7.0,1.0,0.0
2023-10-14,35.0,21.0,8.0,8.0,12.0,1.0,1.0
2023-10-15,25.0,7.0,0.0,2.0,5.0,9.0,0.0
2023-10-16,26.0,11.0,11.0,6.0,17.0,0.0,0.0
2023-10-17,23.0,16.0,9.0,14.0,13.0,3.0,0.0
2023-10-18,17.0,0.0,0.0,2.0,5.0,7.0,0.0
2023-10-19,19.0,10.0,1.0,11.0,7.0,22.0,0.0
2023-10-20,27.0,13.0,9.0,1.0,3.0,2.0,0.0
2023-10-21,13.0,6.0,2.0,5.0,3.0,0.0,0.0
2023-10-22,21.0,10.0,4.0,9.0,1.0,1.0,0.0
2023-10-23,10.0,6.0,2.0,5.0,0.0,1.0,1.0
2023-10-24,13.0,4.0,5.0,17.0,22.0,2.0,0.0
2023-10-25,16.0,4.0,3.0,4.0,6.0,2.0,0.0
2023-10-26,15.0,6.0,2.0,2.0,17.0,0.0,0.0
2023-10-27,17.0,10.0,6.0,5.0,14.0,0.0,0.0
2023-10-28,21.0,14.0,3.0,8.0,13.0,6.0,0.0
2023-10-29,34.0,0.0,1.0,1.0,3.0,9.0,0.0
2023-10-30,21.0,9.0,5.0,7.0,7.0,3.0,0.0
2023-10-31,22.0,5.0,2.0,4.0,12.0,1.0,0.0
2023-11-01,7.0,6.0,4.0,4.0,1.0,1.0,0.0
2023-11-02,6.0,3.0,4.0,8.0,5.0,17.0,0.0
2023-11-03,14.0,7.0,0.0,2.0,4.0,0.0,0.0
2023-11-04,11.0,3.0,8.0,7.0,4.0,1.0,0.0
2023-11-05,13.0,5.0,1.0,6.0,14.0,9.0,0.0
2023-11-06,8.0,0.0,4.0,0.0,0.0,14.0,0.0
2023-11-07,4.0,4.0,5.0,4.0,9.0,3.0,0.0
2023-11-08,11.0,1.0,0.0,0.0,0.0,1.0,1.0
2023-11-09,7.0,3.0,9.0,0.0,0.0,2.0,0.0
2023-11-10,6.0,1.0,1.0,2.0,7.0,2.0,1.0
2023-11-11,9.0,0.0,0.0,9.0,0.0,4.0,2.0
2023-11-12,11.0,0.0,0.0,0.0,0.0,12.0,0.0
2023-11-13,7.0,5.0,0.0,2.0,3.0,7.0,2.0
2023-11-14,18.0,2.0,0.0,0.0,1.0,2.0,0.0
2023-11-15,8.0,4.0,0.0,0.0,0.0,4.0,1.0
2023-11-16,8.0,0.0,0.0,0.0,0.0,4.0,0.0
2023-11-17,7.0,2.0,0.0,1.0,7.0,2.0,0.0
2023-11-18,6.0,4.0,1.0,4.0,1.0,5.0,0.0
2023-11-19,10.0,3.0,0.0,0.0,0.0,13.0,2.0
2023-11-20,14.0,0.0,5.0,3.0,3.0,7.0,2.0
2023-11-21,6.0,2.0,0.0,6.0,0.0,11.0,7.0
2023-11-22,16.0,0.0,0.0,0.0,0.0,7.0,0.0
2023-11-23,3.0,8.0,0.0,0.0,0.0,17.0,0.0
2023-11-24,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-25,0.0,0.0,0.0,0.0,0.0,2.0,1.0
